imdb_title_id,original_title,year,genre,duration,language,production_company,avg_vote,votes,budget,Good_or_Bad_Movie
tt4712086,Love Is Blind,2019,"Comedy, Drama",89,English,Locomotive,5.1,517,1000000,0
tt10218912,As I Am,2019,"Drama, Fantasy, Romance",62,English,APB Production,9.3,1173,10000,1
tt10195614,The Haunting of La Llorona,2019,Horror,71,English,CineRidge Entertainment,2.7,122,500000,0
tt0385887,Motherless Brooklyn,2019,"Crime, Drama, Mystery",144,"English, French",Warner Bros. Pictures,6.8,34759,26000000,0
tt10086834,The Exigency,2019,Sci-Fi,112,English,Cuz Productions,6.5,107,50000,0
tt10048556,Staged Killer,2019,Thriller,88,English,Rented Mule Films,3.4,216,240000,0
tt10039344,Countdown,2019,"Horror, Thriller",90,"English, Latin",STX Films,5.4,21646,6500000,0
tt1822395,Dropa,2019,"Drama, Sci-Fi, Thriller",101,English,Gaucho Productions,6.4,1799,1200000,0
tt1860242,The Highwaymen,2019,"Biography, Crime, Drama",132,"English, Spanish",Casey Silver Productions,6.9,69349,49000000,0
tt2051850,Counterpunch,2019,"Action, Biography, Drama",97,"English, Spanish",LM,4.9,644,5500000,0
tt0783640,The Last Full Measure,2019,"Drama, War",116,English,Foresight Unlimited,6.7,5449,20000000,0
tt1881109,Zeroville,2019,"Comedy, Drama, Mystery",96,English,Patriot Pictures,4.5,1385,6000000,0
tt1950186,Ford v Ferrari,2019,"Action, Biography, Drama",152,"English, Italian, French, Japanese",Chernin Entertainment,8.1,251782,97600000,1
tt11166002,Stanley Stanton,2019,Drama,62,English,,8.7,904,10000,1
tt2365580,"Where'd You Go, Bernadette",2019,"Comedy, Drama",109,English,Annapurna Pictures,6.5,14927,20000000,0
tt2386668,High on the Hog,2019,"Action, Crime, Drama",85,English,Hicktown Entertainment,3.7,166,1200000,0
tt1298644,The Hustle,2019,"Comedy, Crime",93,"English, German, Dutch, Danish, French, American Sign Language",Metro-Goldwyn-Mayer (MGM),5.4,43949,21000000,0
tt4558200,Crown Vic,2019,"Action, Crime, Drama",110,English,Brittany House Pictures,6.4,3025,3600000,0
tt4520988,Frozen II,2019,"Animation, Adventure, Comedy",103,English,Walt Disney Animation Studios,6.9,122760,150000000,0
tt4463894,Shaft,2019,"Action, Comedy, Crime",111,English,Davis Entertainment,6.4,41924,35000000,0
tt4364194,The Peanut Butter Falcon,2019,"Comedy, Drama",97,English,Armory Films,7.6,51322,6200000,1
tt4154796,Avengers: Endgame,2019,"Action, Adventure, Drama",181,"English, Japanese, Xhosa, German",Marvel Studios,8.4,754786,356000000,1
tt4126476,After,2019,"Drama, Romance",105,English,CalMaple,5.4,30745,14000000,0
tt3921694,The Madness Within,2019,Thriller,97,English,Busted Knuckle Productions,6.8,287,1000000,0
tt3864056,The Goldfinch,2019,Drama,149,"English, Ukrainian, German, French",Amazon Studios,6.3,14265,45000000,0
tt3763748,The Evil Inside Her,2019,"Horror, Thriller",78,English,SuttleFilm,3.6,218,300000,0
tt3517870,Mine 9,2019,"Drama, Thriller",83,English,Emphatic Films,6.8,3910,350000,0
tt7126710,Triggered,2019,"Comedy, Horror, Thriller",114,English,CWM Entertainment,5.7,170,200000,0
tt3513548,Richard Jewell,2019,"Biography, Crime, Drama",131,English,Appian Way,7.5,48632,45000000,1
tt3512606,Devil Within,2019,Thriller,83,English,Rahaman Studios,4.9,220,50000,0
tt3361792,Tolkien,2019,"Biography, Drama, Romance",112,"English, Middle English, Old English, Latin, German",Fox Searchlight Pictures,6.8,30026,20000000,0
tt3293594,The Man in the Trunk,2019,"Crime, Drama, Horror",84,English,Brotherhood Pictures,5.3,583,10000,0
tt3281548,Little Women,2019,"Drama, Romance",135,"English, French",Columbia Pictures,7.8,122387,40000000,1
